"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"440","439","1.1884283422","193.9761181950","661.5783031620","0.800","0.200"
"441","440","1.1884298070","42.8744072545","283.3432192330","0.800","0.200"
"442","441","1.1884234594","14.5724720182","27.6966814235","0.800","0.200"
"443","442","1.1884249242","50.2915936000","357.2812437820","0.800","0.200"
"444","443","1.1883968480","20.6933054937","34.9586385054","0.800","0.200"
"445","444","1.1884180883","16.3056109818","25.9600699532","0.800","0.200"
"446","445","1.1884166234","98.8911782505","852.5083445080","0.800","0.200"
"447","446","1.1883863500","216.1977820280","852.5084116470","0.800","0.200"
"448","447","1.1884183324","28.7740427539","183.0976771550","0.800","0.200"
"449","448","1.1884190648","58.4175865718","531.5887392460","0.800","0.200"
"450","449","1.1884249242","4.6228205925","21.9502648871","0.800","0.200"
"451","450","1.1884190648","71.0484677739","573.7420300360","0.800","0.200"
"452","451","1.1884249242","83.1231079675","655.6226966580","0.800","0.200"
"453","452","1.1884254125","15.8701897671","65.0906426803","0.800","0.200"
"454","453","1.1884178441","86.6398370650","758.1578243330","0.800","0.200"
"455","454","1.1884212621","51.1751720154","423.6008180230","0.800","0.200"
"456","455","1.1885064672","153.1286485900","727.2539145590","0.800","0.200"
"457","456","1.1884215062","42.3858365992","281.8044210780","0.800","0.200"
"458","457","1.1883973363","145.2767592850","1225.4417804500","0.800","0.200"
"459","458","1.1884151586","11.7257233566","23.4560628239","0.800","0.200"
"460","459","1.1883892797","11.4891682845","24.4542970146","0.800","0.200"
"461","460","1.1884254125","9.4081503318","22.4654250056","0.800","0.200"
"462","461","1.1884229711","8.4155506065","22.9560187536","0.800","0.200"
"463","462","1.1884229711","7.6412224100","22.9556485614","0.800","0.200"
"464","463","1.1884376195","63.3897997743","464.9043728900","0.800","0.200"
"465","464","1.1884241918","90.8251059900","815.4017202590","0.800","0.200"
"466","465","1.1883968480","13.5684299324","70.7056092359","0.800","0.200"
"467","466","1.1552445043","13.8084143848","34.4655346061","0.800","0.200"
