"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"2071","920","19.9654898688","32.0082908623","37.4311942654","0.000","1.000"
"2072","921","19.9758271540","49.5003929825","167.3243114570","0.000","1.000"
"2073","922","19.9655061875","64.0813150785","171.8613866760","0.000","1.000"
"2074","923","19.9322874377","145.8976059630","1084.1939449500","0.000","1.000"
"2075","924","19.9654867005","32.2241801763","34.9619779136","0.000","1.000"
"2076","925","19.9655268464","36.8409068412","102.4492117270","0.000","1.000"
"2077","926","19.9655320624","29.2114424211","47.6872979176","0.000","1.000"
"2078","927","19.9936458765","773.3263034330","7261.3120469800","0.000","1.000"
"2079","928","19.9655017204","211.1383881110","1732.8348208000","0.000","1.000"
"2080","929","16.8996360475","1245.5577943900","11316.4888979000","0.000","1.000"
"2081","930","2.5507135361","227.0744822060","1987.1787551100","0.000","1.000"
"2082","931","19.9521355432","57.5648154540","316.1849673170","0.000","1.000"
"2083","932","19.9676248937","63.3863315907","328.7366733020","0.000","1.000"
"2084","933","16.6672379854","33.7425669221","37.3482151616","0.000","1.000"
"2085","934","19.3776804998","32.0613932778","36.2249858372","0.000","1.000"
"2086","935","19.9695872722","48.4698073938","123.1735029690","0.000","1.000"
"2087","936","19.9655325197","30.2769386668","60.0051644791","0.000","1.000"
"2088","937","17.9613067222","483.3877227180","4478.8954317800","0.000","1.000"
"2089","938","19.9684676611","115.3008373700","501.5922498200","0.000","1.000"
"2090","939","19.9950284952","1509.3615220600","14825.8151035000","0.000","1.000"
"2091","940","19.9654095407","32.6801055685","85.9557976113","0.000","1.000"
"2092","941","19.9580735356","41.0215075246","54.0136675928","0.000","1.000"
"2093","942","21.4992854986","46.9695983342","97.3392103394","0.000","1.000"
"2094","943","11.9136114768","36.3204535297","55.4666715567","0.000","1.000"
"2095","944","0.7595308539","42.6843165226","109.3404537440","0.000","1.000"
"2096","945","17.6682410480","32.9053779643","55.8024796381","0.000","1.000"
"2097","946","19.9475492087","134.0459500870","1062.3883622900","0.000","1.000"
"2098","947","19.9645124210","34.9412348700","58.2437022797","0.000","1.000"
"2099","948","19.9745693690","356.5625077470","3277.2975722800","0.000","1.000"
"2100","949","19.9651084631","64.9633978886","350.7708677160","0.000","1.000"
"2101","950","16.6974231482","242.0035962540","2112.0457708700","0.000","1.000"
"2102","951","19.9634465807","33.6816232868","35.0326590823","0.000","1.000"
"2103","952","19.8053794445","95.5955303002","677.5254711260","0.000","1.000"
"2104","953","18.7366051661","496.6163448610","4290.8353687000","0.000","1.000"
"2105","954","19.7878955197","50.5214489865","155.1259476920","0.000","1.000"
"2106","955","19.9651632875","31.5407350217","45.5540327947","0.000","1.000"
"2107","956","19.8507728949","41.5799241577","147.0748810860","0.000","1.000"
"2108","957","24.4540020947","97.3949776905","645.5232736650","0.000","1.000"
"2109","958","19.9665260097","323.8943170740","2933.0115782700","0.000","1.000"
"2110","959","19.9655156702","33.5697204286","35.1029830051","0.000","1.000"
"2111","960","10.2529196157","92.0257635072","638.2337659030","0.000","1.000"
"2112","961","19.9693876027","805.3173069390","7728.9878151700","0.000","1.000"
"2113","962","19.9882110778","34.3504071435","35.2438926775","0.000","1.000"
"2114","963","21.4593912014","57.9040912340","216.0088650740","0.000","1.000"
"2115","964","19.9653852497","6406.7372872400","63550.4878476000","0.000","1.000"
"2116","965","19.9897657724","134.4595355270","837.9863034780","0.000","1.000"
"2117","966","19.9642844358","2985.8235152500","29562.3348485000","0.000","1.000"
"2118","967","19.9675808369","36.1589369366","48.9992100370","0.000","1.000"
"2119","968","19.8878709796","34.9221275808","70.1157186983","0.000","1.000"
"2120","969","19.7997811150","41.3969567912","195.3757224700","0.000","1.000"
"2121","970","19.9655381277","38.4135830649","81.9027081075","0.000","1.000"
"2122","971","0.7592205511","45.1220748842","147.3755266450","0.000","1.000"
"2123","972","19.9677815444","32.5102826176","35.0889656750","0.000","1.000"
"2124","973","19.9654962713","74.0912868634","450.2167569230","0.000","1.000"
"2125","974","19.9654562217","5540.3566958500","54532.7546879000","0.000","1.000"
"2126","975","19.9872407131","10223.8271080000","101947.1697960000","0.000","1.000"
"2127","976","20.0176822785","48.7519521658","115.8589850430","0.000","1.000"
"2128","977","19.9906916041","512.1899781670","4467.5975574400","0.000","1.000"
"2129","978","19.9668209863","40.0406458901","61.0164880127","0.000","1.000"
"2130","979","19.9901290308","51.7464838500","120.5867327880","0.000","1.000"
"2131","980","19.9655001539","34.1032216523","36.9040061163","0.000","1.000"
"2132","981","19.9691650997","60.1505736492","264.1575056230","0.000","1.000"
"2133","982","19.9654456006","58.5524562993","172.1517244800","0.000","1.000"
"2134","983","19.8865238800","133.5946687760","1074.7664619700","0.000","1.000"
"2135","984","19.9871016581","77.2267395147","393.2940106950","0.000","1.000"
"2136","985","19.9953350750","55.8753889694","143.1047982690","0.000","1.000"
"2137","986","16.7826344627","37.9495206473","99.8250097745","0.000","1.000"
"2138","987","19.9655178254","42.3803218732","70.8856100969","0.000","1.000"
"2139","988","19.9648579071","291.7457262190","2588.6246927300","0.000","1.000"
"2140","989","19.9654168782","110.6076443330","773.9982416830","0.000","1.000"
"2141","990","19.9654036141","68.3894431669","201.9491255290","0.000","1.000"
"2142","991","19.9655261327","924.3850480190","8904.0788891800","0.000","1.000"
"2143","992","14.8744575163","32.6692074739","91.3043308620","0.000","1.000"
"2144","993","1.8216431020","127.5774197060","924.3585625610","0.000","1.000"
"2145","994","19.8454993864","34.6848548952","69.9053665428","0.000","1.000"
"2146","995","16.8008860126","60.7179443247","172.4097068870","0.000","1.000"
"2147","996","19.7879795195","36.9452463360","101.8536240660","0.000","1.000"
"2148","997","14.8579961440","88.1097161297","408.3037330630","0.000","1.000"
"2149","998","16.2240412984","2934.7859361200","16887.7581254000","0.000","1.000"
"2150","999","13.9137154251","64.1767146036","360.6533056000","0.000","1.000"
